Date,Heure / Time,Vélos depuis le 1er janvier / Grand total,Vélos ce jour / Today's total,,Remarque
,,,,,
,,,,,
12/03/2020,11:05:00,109,109,,
12/03/2020,14:30:00,441,441,,
13/03/2020,10:02:00,1921,385,,
13/03/2020,14:15:00,2305,769,,
13/03/2020,18:21:00,2822,1286,,
13/03/2020,18:25:00,2834,1298,,
14/03/2020,16:26:43,3951,642,,estimation
15/03/2020,09:05:50,4492,50,,
15/03/2020,09:53:00,4512,70,,
15/03/2020,11:25:00,4567,125,,
15/03/2020,14:25:00,4710,268,,
15/03/2020,15:37:00,4825,383,,
15/03/2020,20:30:00,5008,566,,
16/03/2020,06:57:00,5097,14,,
16/03/2020,08:12:00,5157,74,,
16/03/2020,08:24:00,5176,93,,
16/03/2020,11:19:00,5348,265,,
16/03/2020,17:42:00,5748,665,,
16/03/2020,18:12:00,5788,705,,
16/03/2020,18:53:00,5836,753,,
16/03/2020,21:14:00,5958,875,,
16/03/2020,22:15:00,6010,927,,
17/03/2020,08:00:00,6069,40,,
17/03/2020,08:39:00,6109,80,,
17/03/2020,08:51:00,6129,100,,
17/03/2020,10:50:00,6216,187,,
17/03/2020,11:02:00,6229,200,,
17/03/2020,11:18:00,6249,220,,
17/03/2020,11:41:00,6286,257,,
17/03/2020,12:10:00,6319,290,,
17/03/2020,15:28:00,6401,372,,
17/03/2020,19:22:00,6539,510,,
18/03/2020,08:01:00,6614,26,,
18/03/2020,12:12:00,6729,141,,
18/03/2020,19:30:00,7052,464,,
18/03/2020,19:52:00,7064,476,,
18/03/2020,20:07:00,7078,490,,
18/03/2020,22:00:00,7188,600,,
19/03/2020,07:33:00,7208,12,,
19/03/2020,13:32:00,7380,184,,
19/03/2020,19:05:00,7592,396,,
19/03/2020,19:16:00,7601,405,,
19/03/2020,19:34:00,7612,416,,
20/03/2020,08:03:00,7689,23,,
20/03/2020,15:18:00,7851,185,,
20/03/2020,18:41:00,7953,287,,
20/03/2020,19:04:00,7966,300,,
21/03/2020,12:00:00,8106,78,,
21/03/2020,20:04:00,8258,230,,
22/03/2020,10:18:00,8317,21,,
22/03/2020,15:34:00,8380,84,,
22/03/2020,18:46:00,8432,136,,
23/03/2020,08:14:00,8517,45,,
23/03/2020,14:55:00,8648,176,,
23/03/2020,15:49:00,8664,192,,
23/03/2020,17:36:00,8705,233,,
23/03/2020,19:42:00,8778,306,,
24/03/2020,07:47:00,8826,20,,
24/03/2020,09:11:00,8864,58,,
24/03/2020,17:07:00,8989,183,,
24/03/2020,18:15:00,9018,212,,
24/03/2020,19:05:00,9047,241,,
25/03/2020,08:27:00,9136,38,,
25/03/2020,16:41:00,9298,200,,
25/03/2020,18:17:00,9344,246,,
25/03/2020,18:34:00,9356,258,,
25/03/2020,18:52:00,9362,264,,
25/03/2020,19:33:00,9385,287,,
26/03/2020,07:59:00,9432,16,,
26/03/2020,16:39:00,9592,176,,
26/03/2020,19:08:00,9687,271,,
26/03/2020,19:22:00,9694,278,,
26/03/2020,20:01:00,9713,297,,
26/03/2020,20:12:00,9720,304,,
27/03/2020,08:43:00,9795,44,,
27/03/2020,16:46:00,9963,212,,
27/03/2020,17:06:00,9977,226,,
