fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S21;64;56;125;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S21;146;100;253;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S21;306;247;556;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S21;280;228;520;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S21;315;256;574;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S21;302;256;560;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S21;189;220;412;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S21;205;231;437;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S21;447;225;672;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S21;447;107;556;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S21;2701;1929;4671;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S22;60;59;137;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S22;109;171;285;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S22;282;300;590;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S22;269;241;515;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S22;285;259;551;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S22;271;180;456;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S22;174;177;354;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S22;141;141;288;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S22;287;152;442;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S22;317;59;376;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S22;2196;1740;4028;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S23;47;59;116;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S23;96;95;197;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S23;233;205;443;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S23;259;202;470;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S23;236;200;443;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S23;212;180;395;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S23;135;155;293;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S23;118;117;237;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S23;216;122;338;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S23;210;55;266;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S23;1762;1397;3231;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S24;75;98;201;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S24;118;112;270;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S24;237;218;510;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S24;277;221;537;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S24;224;201;467;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S24;181;188;409;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S24;118;141;283;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S24;106;111;229;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S24;131;74;230;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S24;118;32;162;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S24;1585;1396;3299;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S25;100;91;231;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S25;157;142;340;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S25;258;222;552;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S25;307;285;658;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S25;236;228;532;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S25;201;182;426;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S25;134;131;292;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S25;95;103;223;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S25;102;78;200;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S25;72;22;101;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S25;1663;1484;3565;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S26;99;104;212;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S26;202;161;373;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S26;320;319;651;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S26;346;299;652;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S26;260;274;538;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S26;210;224;438;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S26;137;132;272;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S26;82;112;194;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S26;95;63;158;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S26;66;21;87;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S26;1819;1711;3579;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S27;118;115;251;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S27;189;191;390;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S27;343;312;669;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S27;357;323;690;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S27;279;283;569;4355126.52656384;4237759.6333663;49;8592886.15993014
