reg,age,date,nb_hosp,nb-rea,nb_hospconv,SSR_USLD,rad_Tot,dec_Tot,AgeGroup
2,0,2020-03-18,16,5,,,0,1,"[0,9]"
2,29,2020-03-18,2,1,,,0,0,"[20,39]"
2,39,2020-03-18,2,0,,,0,0,"[30,39]"
2,49,2020-03-18,2,1,,,0,0,"[40,49]"
2,59,2020-03-18,5,0,,,0,0,"[50,59]"
2,69,2020-03-18,4,3,,,0,0,"[60,69]"
2,79,2020-03-18,1,0,,,0,0,"[70,79]"
4,0,2020-03-18,2,2,,,0,0,"[0,9]"
4,79,2020-03-18,1,1,,,0,0,"[70,79]"
4,89,2020-03-18,1,1,,,0,0,"[80,89]"
11,0,2020-03-18,957,294,,,129,36,"[0,9]"
11,9,2020-03-18,3,2,,,1,0,"[0,9]"
11,19,2020-03-18,6,1,,,0,0,"[10,19]"
11,29,2020-03-18,11,2,,,18,0,"[20,39]"
11,39,2020-03-18,42,13,,,16,0,"[30,39]"
11,49,2020-03-18,89,27,,,11,4,"[40,49]"
11,59,2020-03-18,177,67,,,30,0,"[50,59]"
11,69,2020-03-18,185,73,,,18,2,"[60,69]"
11,79,2020-03-18,200,70,,,18,8,"[70,79]"
11,89,2020-03-18,168,30,,,12,16,"[80,89]"
11,90,2020-03-18,63,4,,,3,4,"[90,+]"
24,0,2020-03-18,14,5,,,0,1,"[0,9]"
24,59,2020-03-18,3,0,,,0,0,"[50,59]"
24,69,2020-03-18,3,1,,,0,0,"[60,69]"
24,79,2020-03-18,3,2,,,0,1,"[70,79]"
24,89,2020-03-18,4,2,,,0,0,"[80,89]"
24,90,2020-03-18,1,0,,,0,0,"[90,+]"
27,0,2020-03-18,168,33,,,20,6,"[0,9]"
27,29,2020-03-18,1,0,,,3,0,"[20,39]"
27,39,2020-03-18,4,1,,,3,0,"[30,39]"
27,49,2020-03-18,9,1,,,2,0,"[40,49]"
27,59,2020-03-18,17,2,,,3,0,"[50,59]"
27,69,2020-03-18,32,10,,,1,0,"[60,69]"
27,79,2020-03-18,41,13,,,0,1,"[70,79]"
27,89,2020-03-18,50,6,,,5,3,"[80,89]"
27,90,2020-03-18,14,0,,,2,2,"[90,+]"
28,0,2020-03-18,45,4,,,6,3,"[0,9]"
28,29,2020-03-18,1,0,,,0,0,"[20,39]"
28,39,2020-03-18,1,0,,,0,0,"[30,39]"
28,49,2020-03-18,3,0,,,0,0,"[40,49]"
28,59,2020-03-18,4,0,,,2,0,"[50,59]"
28,69,2020-03-18,8,2,,,3,1,"[60,69]"
28,79,2020-03-18,15,2,,,1,1,"[70,79]"
28,89,2020-03-18,10,0,,,0,1,"[80,89]"
28,90,2020-03-18,3,0,,,0,0,"[90,+]"
32,0,2020-03-18,313,87,,,77,21,"[0,9]"
32,9,2020-03-18,10,0,,,10,0,"[0,9]"
32,19,2020-03-18,4,1,,,2,0,"[10,19]"
32,29,2020-03-18,7,2,,,7,0,"[20,39]"
32,39,2020-03-18,14,4,,,12,0,"[30,39]"
32,49,2020-03-18,16,3,,,13,0,"[40,49]"
32,59,2020-03-18,37,13,,,10,0,"[50,59]"
32,69,2020-03-18,55,25,,,7,3,"[60,69]"
32,79,2020-03-18,73,31,,,7,6,"[70,79]"
32,89,2020-03-18,65,8,,,8,10,"[80,89]"
32,90,2020-03-18,32,0,,,1,2,"[90,+]"
44,0,2020-03-18,879,204,,,146,120,"[0,9]"
44,9,2020-03-18,4,0,,,30,0,"[0,9]"
44,19,2020-03-18,4,2,,,1,0,"[10,19]"
44,29,2020-03-18,12,1,,,2,1,"[20,39]"
44,39,2020-03-18,22,6,,,5,0,"[30,39]"
44,49,2020-03-18,41,14,,,12,1,"[40,49]"
44,59,2020-03-18,92,30,,,26,3,"[50,59]"
44,69,2020-03-18,181,69,,,21,9,"[60,69]"
44,79,2020-03-18,206,58,,,21,21,"[70,79]"
44,89,2020-03-18,197,22,,,17,53,"[80,89]"
44,90,2020-03-18,76,0,,,4,32,"[90,+]"
52,0,2020-03-18,44,4,,,36,1,"[0,9]"
52,29,2020-03-18,2,0,,,6,0,"[20,39]"
52,39,2020-03-18,2,0,,,2,0,"[30,39]"
52,49,2020-03-18,2,1,,,9,0,"[40,49]"
52,59,2020-03-18,6,0,,,7,0,"[50,59]"
52,69,2020-03-18,8,1,,,9,0,"[60,69]"
52,79,2020-03-18,9,1,,,2,0,"[70,79]"
52,89,2020-03-18,10,1,,,1,0,"[80,89]"
